OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Occupied Housing Units,Owner Households,Renter Households,Gross Rent as a Percentage of Household Income Less than 15.0%,Gross Rent as a Percentage of Household Income 15.0 to 19.9%,Gross Rent as a Percentage of Household Income 20.0 to 24.9%,Gross Rent as a Percentage of Household Income 25.0 to 29.9%,Gross Rent as a Percentage of Household Income 30.0 to 34.9%,Gross Rent as a Percentage of Household Income 35.0% or more,Gross Rent 30% or more of Household Income,Gross Rent as a Percentage of Household Income Not Computed,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Selected Monthly Owner Costs as a Percentage of Household Income Less than 20.0%,Selected Monthly Owner Costs as a Percentage of Household Income 20.0 to 24.9%,Selected Monthly Owner Costs as a Percentage of Household Income 25.0 to 29.9%,Selected Monthly Owner Costs as a Percentage of Household Income 30.0 to 34.9%,Selected Monthly Owner Costs as a Percentage of Household Income 35.0% or more,Monthly Costs 30% or more of Household Income (owners with a mortgage),Housing units with a mortgage where selected monthly onwer costs a s a percentage of household income not computed,Renter housing units with gross rent,Gross Rent Less Than $500,Gross Rent $500-$999,"Gross Rent $1,000-$1,499","Gross Rent $1,500-$1,999","Gross Rent $2,000-$2,499","Gross Rent $2,500-$2,999","Gross Rent $3,000-$3,499","Gross Rent $3,500 or more",No cash rent,Owner housing units with a mortgage,"Owner Costs Less Than $1,000","Owner Costs $1,000-$1,499","Owner Costs $1,500-$1,999","Owner Costs $2,000-$2,499","Owner Costs $2,500-$2,999","Owner Costs $3,000-$3,499","Owner Costs $3,500-$3,999","Owner Costs $4,000 or more",Owner housing units without a mortgage,Neighborhood Type (outside comp plan areas id)
75,131,Madison-Miller,UCUV,Residential Urban Village,5Y23,4802,1460,3342,451,621,541,363,246,1037,1283,83,1154,572,189,203,0,175,175,15,3342,201,80,442,1128,787,461,94,149,0,1154,0,0,75,221,117,227,163,351,306,UCUV
76,201,Lake City,UCUV,Hub Urban Village,5Y23,2853,573,2280,59,108,365,379,242,1127,1369,0,455,110,135,109,56,45,101,0,2280,177,104,788,630,431,94,34,22,0,455,0,0,79,49,62,68,110,87,118,UCUV
77,202,Roosevelt,UCUV,Residential Urban Village,5Y23,2413,492,1921,154,287,353,86,90,896,986,55,335,217,44,18,17,39,56,0,1892,0,23,171,596,849,67,104,82,29,335,0,0,10,14,40,77,14,180,157,UCUV
78,203,Wallingford,UCUV,Residential Urban Village,5Y23,3736,1168,2568,371,428,280,144,262,1058,1320,25,861,572,87,65,66,71,137,0,2543,20,85,530,592,796,150,96,274,25,861,0,18,61,65,91,229,59,338,307,UCUV
79,204,Rainier Beach,UCUV,Residential Urban Village,5Y23,2253,853,1400,85,206,128,169,122,559,681,131,600,181,217,92,21,89,110,0,1336,158,212,371,315,160,59,30,31,64,600,29,8,65,237,90,70,34,67,253,UCUV
80,205,West Seattle Junction,UCUV,Hub Urban Village,5Y23,5733,1831,3902,360,544,692,514,351,1315,1666,126,1350,459,187,208,86,410,496,0,3848,93,38,413,1344,970,656,159,175,54,1350,0,63,324,129,325,187,128,194,481,UCUV
81,206,Morgan Junction,UCUV,Residential Urban Village,5Y23,2300,1320,980,35,186,138,184,31,374,405,32,1086,513,261,121,51,140,191,0,962,56,22,205,236,183,146,36,78,18,1086,0,27,119,194,127,230,160,229,234,UCUV
82,207,Green Lake,UCUV,Residential Urban Village,5Y23,2424,544,1880,221,234,345,329,220,512,732,19,377,252,38,18,0,69,69,0,1880,247,70,152,565,560,88,94,104,0,377,0,0,0,91,9,25,88,164,167,UCUV
83,301,Northgate,UCUV,Urban Center,5Y23,5083,978,4105,427,404,595,247,349,1877,2226,206,654,321,133,18,56,126,182,0,4004,128,206,511,1552,1051,323,113,120,101,654,0,10,37,181,200,98,73,55,324,UCUV
84,302,Fremont,UCUV,Hub Urban Village,5Y23,4433,1226,3207,529,555,555,211,422,889,1311,46,979,619,54,86,105,115,220,0,3207,28,20,397,908,941,401,192,320,0,979,0,15,79,171,244,103,115,252,247,UCUV
85,303,Ballard,UCUV,Hub Urban Village,5Y23,11912,3848,8064,1480,1298,744,1195,517,2553,3070,277,3202,1317,620,391,308,566,874,0,7847,134,64,843,2177,1893,1441,675,620,217,3202,14,3,90,433,393,569,520,1180,646,UCUV
86,305,Mt Baker,UCUV,Hub Urban Village,5Y23,3484,1538,1946,225,185,193,253,206,864,1070,20,1002,600,36,61,146,159,305,0,1946,203,373,485,281,278,86,97,143,0,1002,0,0,41,35,215,261,154,296,536,UCUV
87,312,South Lake Union,UCUV,Urban Center,5Y23,8217,188,8029,2598,1179,1078,722,457,1711,2168,284,81,20,0,0,36,25,61,0,7917,175,215,458,938,2228,1834,973,1096,112,81,0,0,0,0,45,0,0,36,107,UCUV
88,401,University District,UCUV,Urban Center,5Y23,10053,702,9351,789,621,583,686,473,5342,5815,857,357,83,37,11,17,209,226,0,9167,161,731,2494,2788,1720,707,253,313,184,357,0,7,32,21,47,37,48,165,345,UCUV
89,412,Uptown,UCUV,Urban Center,5Y23,8666,1772,6894,1184,1211,968,947,663,1843,2506,78,1326,486,246,79,117,256,373,142,6836,162,57,588,2269,1729,1228,451,352,58,1326,0,66,213,117,207,294,253,176,446,UCUV
90,413,Downtown,UCUV,Urban Center,5Y23,27067,4979,22088,4178,3285,2873,2698,2090,6423,8513,541,3495,1672,714,334,178,597,775,0,21759,2008,1512,2871,2859,3831,3479,2423,2776,329,3495,0,28,161,317,292,677,432,1588,1484,UCUV
91,414,First Hill/Capitol Hill,UCUV,Urban Center,5Y23,32931,5017,27914,4805,3749,3871,2644,2313,9552,11865,980,3608,1730,681,386,95,705,800,11,27206,1325,1002,4759,7927,5814,3519,1446,1414,708,3608,0,102,523,509,553,598,582,741,1409,UCUV
92,502,Greater Duwamish,UCUV,Manufacturing Industrial,5Y23,322,147,175,19,26,29,3,32,64,96,2,116,32,35,4,18,27,45,0,173,9,28,21,54,33,2,11,15,2,116,0,0,19,26,0,29,37,5,31,UCUV
